steps	accuracy	loss
0	0.141	2.303
100	0.164	2.236
200	0.234	2.078
300	0.258	1.983
400	0.289	2.042
500	0.328	1.877
600	0.328	1.865
700	0.305	1.82
800	0.289	1.907
900	0.445	1.701
1000	0.281	1.842
1100	0.266	1.912
1200	0.359	1.671
1300	0.25	1.752
1400	0.383	1.726
1500	0.375	1.663
1600	0.43	1.58
1700	0.352	1.689
1800	0.328	1.74
1900	0.422	1.597
2000	0.359	1.725
2100	0.391	1.737
2200	0.383	1.583
2300	0.406	1.586
2400	0.414	1.569
2500	0.383	1.688
2600	0.469	1.611
2700	0.477	1.465
2800	0.492	1.595
2900	0.336	1.728
3000	0.453	1.488
3100	0.484	1.448
3200	0.398	1.671
3300	0.375	1.497
3400	0.391	1.623
3500	0.477	1.383
3600	0.484	1.519
3700	0.477	1.509
3800	0.391	1.631
3900	0.469	1.442
4000	0.398	1.609
4100	0.508	1.417
4200	0.531	1.403
4300	0.523	1.343
4400	0.523	1.466
4500	0.563	1.278
4600	0.578	1.281
4700	0.477	1.409
4800	0.508	1.341
4900	0.484	1.399
5000	0.5	1.368
5100	0.5	1.394
5200	0.563	1.293
5300	0.469	1.303
5400	0.477	1.347
5500	0.516	1.387
5600	0.5	1.578
5700	0.523	1.356
5800	0.453	1.403
5900	0.469	1.451
6000	0.508	1.356
6100	0.492	1.37
6200	0.523	1.27
6300	0.57	1.276
6400	0.453	1.383
6500	0.492	1.272
6600	0.516	1.325
6700	0.602	1.196
6800	0.578	1.147
6900	0.508	1.407
7000	0.586	1.162
7100	0.625	1.12
7200	0.563	1.32
7300	0.602	1.136
7400	0.586	1.182
7500	0.625	1.138
7600	0.617	1.116
7700	0.625	1.269
7800	0.625	1.071
7900	0.531	1.369
8000	0.57	1.28
8100	0.555	1.348
8200	0.539	1.259
8300	0.547	1.277
8400	0.461	1.335
8500	0.602	1.18
8600	0.563	1.295
8700	0.594	1.126
8800	0.539	1.222
8900	0.57	1.203
9000	0.625	1.131
9100	0.617	1.097
9200	0.594	1.04
9300	0.578	1.072
9400	0.57	1.142
9500	0.508	1.249
9600	0.586	1.16
9700	0.617	1.04
9800	0.633	1.061
9900	0.578	1.194
10000	0.602	1.17
10100	0.594	1.169
10200	0.531	1.182
10300	0.555	1.168
10400	0.641	1.061
10500	0.648	1.114
10600	0.617	1.082
10700	0.563	1.111
10800	0.68	0.956
10900	0.563	1.112
11000	0.633	1.084
11100	0.617	1.077
11200	0.547	1.164
11300	0.625	0.996
11400	0.664	0.988
11500	0.688	1.085
11600	0.602	1.132
11700	0.602	1.067
11800	0.641	1.061
11900	0.648	1.01
12000	0.633	1.007
12100	0.727	0.833
12200	0.648	1.027
12300	0.594	1.111
12400	0.742	0.908
12500	0.609	1.053
12600	0.602	1.063
12700	0.57	1.261
12800	0.633	1.055
12900	0.68	0.872
13000	0.641	0.989
13100	0.641	0.976
13200	0.617	1.026
13300	0.664	0.869
13400	0.641	1.014
13500	0.641	0.911
13600	0.734	0.777
13700	0.633	1.06
13800	0.656	0.958
13900	0.703	0.889
14000	0.688	0.933
14100	0.68	0.875
14200	0.641	1.01
14300	0.695	0.871
14400	0.609	1.062
14500	0.664	0.914
14600	0.625	0.997
14700	0.641	0.884
14800	0.719	0.858
14900	0.656	0.964
15000	0.555	1.02
15100	0.711	0.884
15200	0.742	0.844
15300	0.641	1.081
15400	0.703	0.845
15500	0.711	0.924
15600	0.773	0.724
15700	0.719	0.791
15800	0.672	0.926
15900	0.781	0.758
16000	0.664	0.965
16100	0.711	0.9
16200	0.617	1.027
16300	0.695	0.868
16400	0.68	0.859
16500	0.727	0.839
16600	0.734	0.847
16700	0.727	0.884
16800	0.789	0.726
16900	0.75	0.7
17000	0.727	0.869
17100	0.758	0.691
17200	0.734	0.771
17300	0.68	0.878
17400	0.734	0.845
17500	0.633	0.993
17600	0.695	0.866
17700	0.758	0.728
17800	0.703	0.776
17900	0.68	0.841
18000	0.672	0.861
18100	0.703	0.901
18200	0.633	1.034
18300	0.75	0.749
18400	0.734	0.77
18500	0.75	0.756
18600	0.727	0.892
18700	0.703	0.833
18800	0.719	0.836
18900	0.75	0.763
19000	0.711	0.826
19100	0.742	0.816
19200	0.711	0.806
19300	0.742	0.8
19400	0.727	0.804
19500	0.703	0.827
19600	0.719	0.809
19700	0.773	0.676
19800	0.75	0.814
19900	0.664	0.872
20000	0.688	0.92
20100	0.711	0.819
20200	0.773	0.759
20300	0.68	0.907
20400	0.789	0.73
20500	0.727	0.757
20600	0.797	0.71
20700	0.727	0.792
20800	0.711	0.802
20900	0.633	1.058
21000	0.711	0.861
21100	0.766	0.687
21200	0.711	0.75
21300	0.797	0.658
21400	0.688	0.881
21500	0.797	0.717
21600	0.727	0.784
21700	0.742	0.823
21800	0.781	0.638
21900	0.805	0.597
22000	0.773	0.709
22100	0.711	0.728
22200	0.703	0.805
22300	0.695	0.753
22400	0.75	0.732
22500	0.727	0.769
22600	0.734	0.712
22700	0.789	0.687
22800	0.719	0.78
22900	0.758	0.732
23000	0.82	0.59
23100	0.742	0.665
23200	0.836	0.66
23300	0.727	0.721
23400	0.797	0.653
23500	0.695	0.778
23600	0.742	0.771
23700	0.742	0.71
