steps	accuracy	loss
0	0.07	2.736
100	0.141	2.284
200	0.258	2.201
300	0.266	2.05
400	0.344	1.866
500	0.32	1.845
600	0.406	1.74
700	0.344	1.769
800	0.461	1.59
900	0.453	1.531
1000	0.375	1.558
1100	0.438	1.512
1200	0.523	1.425
1300	0.539	1.361
1400	0.477	1.44
1500	0.492	1.332
1600	0.555	1.291
1700	0.586	1.187
1800	0.578	1.244
1900	0.633	1.122
2000	0.703	0.981
2100	0.578	1.219
2200	0.508	1.312
2300	0.539	1.293
2400	0.594	1.177
2500	0.578	1.143
2600	0.648	1.135
2700	0.672	0.995
2800	0.531	1.242
2900	0.539	1.225
3000	0.633	1.114
3100	0.641	1.123
3200	0.625	1.013
3300	0.633	1.021
3400	0.594	1.072
3500	0.648	1.013
3600	0.586	1.055
3700	0.68	0.946
3800	0.641	1.036
3900	0.68	0.878
4000	0.625	0.998
4100	0.633	1.007
4200	0.633	0.934
4300	0.664	0.931
4400	0.805	0.659
4500	0.703	0.784
4600	0.711	0.815
4700	0.758	0.819
4800	0.742	0.756
4900	0.648	0.858
5000	0.719	0.721
5100	0.609	1.005
5200	0.656	0.928
5300	0.781	0.784
5400	0.703	0.818
5500	0.68	0.888
5600	0.773	0.729
5700	0.727	0.707
5800	0.719	0.871
5900	0.797	0.672
6000	0.789	0.739
6100	0.719	0.807
6200	0.711	0.868
6300	0.711	0.833
6400	0.789	0.601
6500	0.695	0.799
6600	0.789	0.6
6700	0.68	0.827
6800	0.734	0.841
6900	0.695	0.761
7000	0.734	0.728
7100	0.727	0.767
7200	0.797	0.673
7300	0.766	0.808
7400	0.82	0.647
7500	0.805	0.608
7600	0.828	0.586
7700	0.75	0.635
7800	0.742	0.723
7900	0.805	0.527
8000	0.742	0.667
8100	0.703	0.814
8200	0.82	0.571
8300	0.836	0.542
8400	0.906	0.433
8500	0.859	0.507
8600	0.828	0.524
8700	0.805	0.562
8800	0.805	0.529
8900	0.781	0.677
9000	0.813	0.604
9100	0.813	0.531
9200	0.75	0.63
9300	0.797	0.552
9400	0.813	0.518
9500	0.813	0.552
9600	0.781	0.615
9700	0.852	0.454
9800	0.805	0.542
9900	0.82	0.512
10000	0.828	0.547
10100	0.789	0.553
10200	0.836	0.528
10300	0.859	0.512
10400	0.844	0.494
10500	0.828	0.534
10600	0.859	0.442
10700	0.836	0.447
10800	0.859	0.449
10900	0.852	0.433
11000	0.781	0.547
11100	0.797	0.488
11200	0.844	0.422
11300	0.906	0.354
11400	0.844	0.48
11500	0.844	0.463
11600	0.82	0.509
11700	0.844	0.438
11800	0.875	0.373
11900	0.859	0.385
12000	0.852	0.391
12100	0.859	0.413
12200	0.859	0.44
12300	0.844	0.441
12400	0.836	0.431
12500	0.789	0.494
12600	0.836	0.417
12700	0.883	0.353
12800	0.914	0.346
12900	0.875	0.373
13000	0.828	0.458
13100	0.875	0.4
13200	0.883	0.418
13300	0.875	0.459
13400	0.875	0.456
13500	0.875	0.364
13600	0.867	0.395
13700	0.906	0.275
13800	0.852	0.421
13900	0.859	0.379
14000	0.883	0.387
14100	0.891	0.313
14200	0.938	0.326
14300	0.906	0.277
14400	0.844	0.39
14500	0.906	0.333
14600	0.867	0.339
14700	0.859	0.383
14800	0.883	0.319
14900	0.867	0.453
15000	0.953	0.232
