steps	accuracy	loss
0	0.109	2.484
100	0.227	2.262
200	0.242	2.192
300	0.305	2.075
400	0.313	1.897
500	0.359	1.86
600	0.367	1.823
700	0.375	1.741
800	0.398	1.731
900	0.383	1.807
1000	0.438	1.567
1100	0.414	1.667
1200	0.461	1.589
1300	0.5	1.483
1400	0.422	1.562
1500	0.508	1.527
1600	0.406	1.61
1700	0.484	1.458
1800	0.43	1.603
1900	0.5	1.432
2000	0.555	1.468
2100	0.508	1.402
2200	0.516	1.371
2300	0.484	1.462
2400	0.555	1.344
2500	0.531	1.332
2600	0.633	1.306
2700	0.516	1.36
2800	0.461	1.426
2900	0.547	1.307
3000	0.555	1.299
3100	0.609	1.288
3200	0.594	1.176
3300	0.578	1.212
3400	0.586	1.274
3500	0.625	1.18
3600	0.57	1.237
3700	0.609	1.281
3800	0.609	1.202
3900	0.633	1.167
4000	0.68	1.036
4100	0.594	1.18
4200	0.648	1.144
4300	0.609	1.122
4400	0.477	1.341
4500	0.648	1.075
4600	0.594	1.213
4700	0.719	1.0
4800	0.586	1.166
4900	0.633	1.059
5000	0.68	1.065
5100	0.664	1.061
5200	0.625	1.037
5300	0.656	1.018
5400	0.656	1.058
5500	0.633	1.111
5600	0.648	1.093
5700	0.68	1.038
5800	0.641	1.07
5900	0.695	1.006
6000	0.664	1.052
6100	0.617	1.132
6200	0.578	1.134
6300	0.656	1.064
6400	0.656	0.999
6500	0.688	1.017
6600	0.641	1.01
6700	0.625	1.09
6800	0.734	1.012
6900	0.773	0.903
7000	0.656	1.019
7100	0.672	0.998
7200	0.742	0.915
7300	0.75	0.849
7400	0.648	0.957
7500	0.648	1.052
7600	0.625	1.025
7700	0.711	0.833
7800	0.648	0.984
7900	0.656	1.051
8000	0.656	0.98
8100	0.703	0.897
8200	0.703	0.901
8300	0.68	0.951
8400	0.688	1.03
8500	0.703	0.858
8600	0.711	0.854
8700	0.734	0.796
8800	0.727	0.919
8900	0.703	0.908
9000	0.758	0.825
9100	0.727	0.846
9200	0.703	0.896
9300	0.695	0.924
9400	0.719	0.899
9500	0.703	0.964
9600	0.688	0.917
9700	0.75	0.799
9800	0.742	0.884
9900	0.672	0.908
10000	0.773	0.753
10100	0.742	0.784
10200	0.719	0.85
10300	0.703	0.915
10400	0.75	0.922
10500	0.719	0.839
10600	0.75	0.743
10700	0.695	0.836
10800	0.68	0.947
10900	0.781	0.769
11000	0.656	0.853
11100	0.688	0.884
11200	0.75	0.79
11300	0.719	0.77
11400	0.68	0.94
11500	0.758	0.795
11600	0.727	0.819
11700	0.742	0.803
11800	0.773	0.807
11900	0.703	0.858
12000	0.742	0.872
12100	0.82	0.724
12200	0.766	0.777
12300	0.695	0.93
12400	0.75	0.763
12500	0.773	0.761
12600	0.695	0.853
12700	0.688	0.825
12800	0.711	0.889
12900	0.727	0.783
13000	0.75	0.803
13100	0.742	0.714
13200	0.781	0.73
13300	0.805	0.728
13400	0.734	0.849
13500	0.773	0.73
13600	0.781	0.714
13700	0.758	0.758
13800	0.75	0.766
13900	0.773	0.684
14000	0.781	0.773
14100	0.734	0.81
14200	0.75	0.671
14300	0.828	0.642
14400	0.805	0.692
14500	0.742	0.803
14600	0.805	0.669
14700	0.773	0.77
14800	0.789	0.717
14900	0.766	0.668
15000	0.719	0.828
15100	0.766	0.714
15200	0.789	0.68
15300	0.773	0.719
15400	0.75	0.771
15500	0.789	0.733
15600	0.781	0.692
15700	0.789	0.644
15800	0.766	0.708
15900	0.734	0.816
16000	0.766	0.744
16100	0.75	0.751
16200	0.773	0.759
16300	0.773	0.683
16400	0.672	0.822
16500	0.75	0.708
16600	0.758	0.746
16700	0.805	0.629
16800	0.828	0.635
16900	0.781	0.741
17000	0.781	0.566
17100	0.813	0.644
17200	0.805	0.651
17300	0.773	0.622
17400	0.766	0.723
17500	0.789	0.746
17600	0.805	0.68
17700	0.758	0.72
17800	0.75	0.717
17900	0.813	0.594
18000	0.859	0.555
18100	0.805	0.631
18200	0.813	0.674
18300	0.789	0.674
18400	0.82	0.629
18500	0.766	0.719
18600	0.766	0.709
18700	0.836	0.585
18800	0.836	0.647
18900	0.781	0.642
19000	0.813	0.623
19100	0.781	0.716
19200	0.828	0.663
19300	0.828	0.641
19400	0.781	0.669
19500	0.859	0.543
19600	0.82	0.577
19700	0.789	0.648
19800	0.82	0.614
19900	0.758	0.701
20000	0.813	0.608
20100	0.867	0.535
20200	0.797	0.62
20300	0.82	0.548
20400	0.852	0.586
20500	0.852	0.546
20600	0.797	0.61
20700	0.82	0.564
20800	0.734	0.65
20900	0.789	0.651
21000	0.82	0.6
21100	0.836	0.58
21200	0.82	0.562
21300	0.828	0.605
21400	0.828	0.57
21500	0.883	0.478
21600	0.828	0.595
21700	0.805	0.552
21800	0.805	0.586
21900	0.82	0.588
22000	0.789	0.637
22100	0.836	0.534
22200	0.828	0.61
22300	0.828	0.549
22400	0.844	0.578
22500	0.836	0.658
22600	0.836	0.556
22700	0.805	0.575
22800	0.813	0.598
22900	0.805	0.66
23000	0.789	0.58
23100	0.797	0.567
23200	0.781	0.626
23300	0.82	0.584
23400	0.859	0.488
23500	0.789	0.572
23600	0.836	0.551
23700	0.828	0.535
23800	0.82	0.519
23900	0.719	0.754
24000	0.836	0.546
24100	0.789	0.595
24200	0.828	0.618
24300	0.82	0.578
24400	0.805	0.623
24500	0.789	0.683
24600	0.813	0.638
24700	0.813	0.551
24800	0.789	0.571
24900	0.797	0.633
25000	0.852	0.502
25100	0.852	0.571
25200	0.883	0.488
25300	0.82	0.612
25400	0.813	0.579
25500	0.852	0.514
25600	0.867	0.556
25700	0.813	0.555
25800	0.836	0.549
25900	0.836	0.55
26000	0.82	0.546
26100	0.82	0.582
26200	0.859	0.466
26300	0.836	0.577
26400	0.82	0.573
26500	0.828	0.54
26600	0.82	0.536
26700	0.859	0.476
26800	0.852	0.484
26900	0.883	0.459
27000	0.836	0.585
27100	0.859	0.448
27200	0.844	0.532
27300	0.836	0.513
27400	0.789	0.573
27500	0.781	0.655
27600	0.813	0.535
27700	0.898	0.345
27800	0.867	0.517
27900	0.852	0.552
28000	0.828	0.529
28100	0.82	0.55
28200	0.867	0.561
28300	0.805	0.472
28400	0.859	0.476
28500	0.859	0.538
28600	0.891	0.45
28700	0.836	0.528
28800	0.891	0.417
28900	0.836	0.56
29000	0.852	0.483
29100	0.867	0.495
29200	0.867	0.432
29300	0.836	0.515
29400	0.828	0.565
29500	0.836	0.559
29600	0.891	0.475
29700	0.789	0.537
29800	0.844	0.527
29900	0.867	0.467
30000	0.859	0.408
30100	0.859	0.461
30200	0.852	0.484
30300	0.859	0.494
30400	0.859	0.468
30500	0.82	0.597
30600	0.891	0.369
30700	0.875	0.412
30800	0.867	0.463
30900	0.883	0.403
31000	0.906	0.439
31100	0.867	0.496
31200	0.82	0.506
31300	0.875	0.465
31400	0.836	0.508
31500	0.852	0.516
31600	0.805	0.575
31700	0.852	0.459
31800	0.836	0.458
31900	0.867	0.461
32000	0.867	0.426
32100	0.836	0.531
32200	0.875	0.438
32300	0.852	0.484
32400	0.859	0.399
32500	0.867	0.442
32600	0.828	0.527
32700	0.836	0.474
32800	0.867	0.473
32900	0.844	0.483
33000	0.891	0.475
33100	0.875	0.397
33200	0.867	0.42
33300	0.82	0.503
33400	0.867	0.472
33500	0.906	0.442
33600	0.844	0.5
33700	0.891	0.447
33800	0.852	0.468
33900	0.82	0.462
34000	0.891	0.359
34100	0.852	0.449
34200	0.891	0.417
34300	0.867	0.425
34400	0.82	0.541
34500	0.875	0.413
34600	0.859	0.457
34700	0.891	0.439
