steps	accuracy	loss
0	0.094	2.302
100	0.078	2.303
200	0.086	2.302
300	0.164	2.3
400	0.203	1.978
500	0.273	2.004
600	0.234	2.052
700	0.305	1.857
800	0.242	1.967
900	0.32	1.879
1000	0.281	1.846
1100	0.297	1.893
1200	0.25	1.972
1300	0.234	1.879
1400	0.32	1.806
1500	0.383	1.751
1600	0.352	1.835
1700	0.313	1.745
1800	0.336	1.805
1900	0.352	1.739
2000	0.367	1.656
2100	0.383	1.837
2200	0.313	1.847
2300	0.469	1.493
2400	0.383	1.709
2500	0.383	1.668
2600	0.352	1.653
2700	0.375	1.649
2800	0.461	1.605
2900	0.477	1.464
3000	0.461	1.521
3100	0.43	1.488
3200	0.422	1.583
3300	0.461	1.49
3400	0.438	1.483
3500	0.43	1.677
3600	0.414	1.51
3700	0.43	1.639
3800	0.508	1.342
3900	0.453	1.516
4000	0.391	1.625
4100	0.406	1.575
4200	0.398	1.578
4300	0.492	1.513
4400	0.516	1.432
4500	0.477	1.45
4600	0.523	1.525
4700	0.469	1.45
4800	0.438	1.416
4900	0.422	1.498
5000	0.539	1.307
5100	0.492	1.353
5200	0.445	1.465
5300	0.5	1.355
5400	0.539	1.446
5500	0.531	1.386
5600	0.445	1.363
5700	0.609	1.372
5800	0.453	1.396
5900	0.555	1.207
6000	0.539	1.338
6100	0.5	1.274
6200	0.461	1.464
6300	0.469	1.369
6400	0.516	1.239
6500	0.547	1.365
6600	0.492	1.378
6700	0.508	1.332
6800	0.516	1.246
6900	0.523	1.231
7000	0.547	1.324
7100	0.602	1.183
7200	0.523	1.314
7300	0.445	1.364
7400	0.531	1.231
7500	0.531	1.301
7600	0.594	1.192
7700	0.57	1.252
7800	0.602	1.207
7900	0.586	1.247
8000	0.563	1.229
8100	0.586	1.141
8200	0.508	1.315
8300	0.516	1.378
8400	0.578	1.3
8500	0.594	1.189
8600	0.563	1.328
8700	0.547	1.146
8800	0.555	1.303
8900	0.57	1.242
9000	0.523	1.235
9100	0.57	1.231
9200	0.57	1.215
9300	0.531	1.181
9400	0.57	1.227
9500	0.539	1.184
9600	0.5	1.229
9700	0.57	1.184
9800	0.648	1.026
9900	0.617	1.115
10000	0.563	1.275
10100	0.602	1.153
10200	0.547	1.253
10300	0.57	1.255
10400	0.586	1.153
10500	0.523	1.253
10600	0.57	1.099
10700	0.516	1.21
10800	0.594	1.27
10900	0.563	1.203
11000	0.523	1.211
11100	0.586	1.172
11200	0.57	1.161
11300	0.539	1.217
11400	0.578	1.085
11500	0.633	1.068
11600	0.602	1.103
11700	0.547	1.235
11800	0.617	1.079
11900	0.641	1.093
12000	0.672	1.032
12100	0.625	1.081
12200	0.609	1.114
12300	0.641	1.07
12400	0.641	1.133
12500	0.656	1.039
12600	0.617	1.054
12700	0.602	1.043
12800	0.625	1.143
12900	0.695	0.968
13000	0.617	1.074
13100	0.516	1.15
13200	0.57	1.099
13300	0.664	1.052
13400	0.633	0.963
13500	0.602	0.988
13600	0.586	1.072
13700	0.602	1.139
13800	0.617	1.076
13900	0.539	1.077
14000	0.617	1.009
14100	0.555	1.165
14200	0.617	0.969
14300	0.625	1.074
14400	0.625	1.048
14500	0.609	1.082
14600	0.703	0.865
14700	0.664	0.96
14800	0.578	1.126
14900	0.633	0.96
15000	0.594	1.019
15100	0.625	1.09
15200	0.727	0.852
15300	0.695	0.942
15400	0.625	1.025
15500	0.68	0.797
15600	0.68	0.982
15700	0.711	0.881
15800	0.625	1.078
15900	0.57	1.001
16000	0.664	1.004
16100	0.633	0.977
16200	0.719	0.961
16300	0.594	1.091
16400	0.641	0.96
16500	0.656	0.958
16600	0.68	0.892
16700	0.672	0.842
16800	0.625	1.062
16900	0.672	0.94
17000	0.672	0.826
17100	0.75	0.796
17200	0.625	1.026
17300	0.719	0.87
17400	0.695	0.893
17500	0.656	0.981
17600	0.68	0.895
17700	0.625	0.988
17800	0.648	0.924
17900	0.711	0.884
