steps	accuracy	loss
0	0.133	2.301
100	0.18	2.232
200	0.211	2.06
300	0.336	1.797
400	0.328	1.709
500	0.422	1.562
600	0.391	1.594
700	0.5	1.458
800	0.422	1.596
900	0.461	1.462
1000	0.508	1.452
1100	0.398	1.532
1200	0.484	1.365
1300	0.516	1.33
1400	0.484	1.306
1500	0.578	1.263
1600	0.477	1.393
1700	0.43	1.371
1800	0.445	1.419
1900	0.484	1.419
2000	0.484	1.351
2100	0.484	1.311
2200	0.586	1.217
2300	0.602	1.18
2400	0.625	1.039
2500	0.625	1.135
2600	0.648	1.047
2700	0.656	1.052
2800	0.617	1.086
2900	0.734	0.858
3000	0.641	1.003
3100	0.602	1.01
3200	0.664	0.997
3300	0.695	0.838
3400	0.617	1.038
3500	0.695	0.899
3600	0.711	0.865
3700	0.594	1.012
3800	0.602	1.029
3900	0.633	0.98
4000	0.656	0.848
4100	0.672	0.881
4200	0.719	0.786
4300	0.781	0.76
4400	0.688	0.787
4500	0.758	0.836
4600	0.641	0.935
4700	0.688	0.796
4800	0.633	0.936
4900	0.641	0.875
5000	0.797	0.726
5100	0.766	0.758
5200	0.688	0.937
5300	0.672	0.866
5400	0.828	0.567
5500	0.664	0.831
5600	0.789	0.704
5700	0.695	0.77
5800	0.703	0.771
5900	0.75	0.773
6000	0.719	0.784
6100	0.734	0.758
6200	0.766	0.702
6300	0.781	0.702
6400	0.727	0.765
6500	0.672	0.866
6600	0.75	0.733
6700	0.672	0.849
6800	0.664	0.891
6900	0.82	0.545
7000	0.734	0.758
7100	0.773	0.648
7200	0.789	0.665
7300	0.758	0.613
7400	0.719	0.777
7500	0.766	0.719
7600	0.734	0.703
7700	0.781	0.704
7800	0.773	0.561
7900	0.719	0.736
8000	0.773	0.751
8100	0.758	0.621
8200	0.719	0.723
8300	0.813	0.61
8400	0.805	0.631
8500	0.766	0.59
8600	0.836	0.497
8700	0.781	0.699
8800	0.828	0.471
8900	0.781	0.585
9000	0.828	0.61
9100	0.766	0.642
9200	0.813	0.563
9300	0.75	0.665
9400	0.734	0.65
9500	0.797	0.555
9600	0.719	0.766
9700	0.789	0.6
9800	0.789	0.599
9900	0.773	0.677
10000	0.852	0.464
10100	0.828	0.464
10200	0.813	0.503
10300	0.82	0.485
10400	0.828	0.586
10500	0.813	0.596
10600	0.773	0.602
10700	0.859	0.477
10800	0.828	0.479
10900	0.805	0.553
11000	0.805	0.574
11100	0.852	0.497
11200	0.797	0.488
11300	0.836	0.474
11400	0.766	0.581
11500	0.797	0.496
11600	0.828	0.491
11700	0.859	0.41
11800	0.805	0.535
11900	0.805	0.519
12000	0.805	0.457
12100	0.852	0.493
12200	0.789	0.612
12300	0.852	0.486
12400	0.883	0.393
12500	0.875	0.406
12600	0.852	0.446
12700	0.797	0.502
12800	0.836	0.533
12900	0.859	0.35
13000	0.852	0.427
13100	0.836	0.477
13200	0.813	0.412
13300	0.797	0.435
13400	0.828	0.464
13500	0.852	0.47
13600	0.813	0.492
13700	0.891	0.398
13800	0.828	0.558
13900	0.891	0.363
14000	0.813	0.523
14100	0.898	0.333
14200	0.93	0.277
14300	0.859	0.459
14400	0.906	0.336
14500	0.852	0.432
14600	0.914	0.346
14700	0.859	0.385
14800	0.891	0.373
14900	0.859	0.37
15000	0.883	0.367
15100	0.852	0.426
15200	0.844	0.469
15300	0.859	0.382
15400	0.945	0.276
15500	0.914	0.32
15600	0.82	0.467
15700	0.859	0.436
15800	0.867	0.42
15900	0.914	0.322
16000	0.875	0.388
16100	0.859	0.385
16200	0.898	0.291
16300	0.852	0.353
16400	0.898	0.317
16500	0.891	0.393
16600	0.867	0.491
